Date,Topic,opening,sacrament,closing
"January 21, 2024",new year,,,
"January 28, 2024",new year,,,
"February 4, 2024",,,,
"February 11, 2024",,,,
"February 18, 2024",,,,
"February 25, 2024",,,,
"March 3, 2024",,,,
"March 10, 2024",,,,
"March 17, 2024",,,,
"March 24, 2024",,,,
"March 31, 2024",easter,,,
"April 7, 2024",,,,
"April 14, 2024",prophets,,,
"April 21, 2024",,,,
"April 28, 2024",,,,
"May 5, 2024",,,,
"May 12, 2024",families,,,
"May 19, 2024",,,,
"May 26, 2024",,,,
"June 2, 2024",,,,
"June 9, 2024",,,,
"June 16, 2024",families,,,
"June 23, 2024",,,,
"June 30, 2024",,,,
"July 7, 2024",,,,
"July 14, 2024",,,,
"July 21, 2024",,,,
"July 28, 2024",,,,
"August 4, 2024",,,,
"August 11, 2024",,,,
"August 18, 2024",,,,
"August 25, 2024",,,,
"September 1, 2024",,,,
"September 8, 2024",,,,
"September 15, 2024",,,,
"September 22, 2024",,,,
"September 29, 2024",prophets,,,
"October 6, 2024",,,,
"October 13, 2024",prophets,,,
"October 20, 2024",,,,
"October 27, 2024",,,,
"November 3, 2024",gratitude,,,
"November 10, 2024",gratitude,,,
"November 17, 2024",gratitude,,,
"November 24, 2024",gratitude,,,
"December 1, 2024",christmas,,,
"December 8, 2024",christmas,,,
"December 15, 2024",christmas,,,
"December 22, 2024",christmas,,,
"December 29, 2024",christmas,,,
