number,hymn,topic,mood
2, El Espíritu de Dios,"general, restoration",upbeat
3, Ya regocijemos,"general, restoration",upbeat
4, Bandera de Sión,"general, restoration",upbeat
5, Oh Dios de Israel,"general, restoration",upbeat
6," Israel, Jesús os llama","general, restoration",upbeat
9, Un ángel del Señor,"general, restoration",upbeat 
10," Te damos, Señor, nuestras gracias","general, prophets",upbeat 
11, Dios manda a profetas,"general, prophets",upbeat 
12, Pedimos hoy por ti,"general, prophets",reverent
14, La oración del Profeta,"general, prophets",reverent
15, Loor al Profeta,"general, prophets",upbeat 
16, Un pobre forastero,general,reverent
17," ¡Oh, está todo bien!",general,reverent
19, Por tus dones loor cantamos,general,upbeat 
23, Bella Sión,general,upbeat 
24, El alba ya rompe,general,upbeat 
26," Hijos del Señor, venid",general,upbeat 
27," Oh Rey de reyes, ven",general,upbeat 
28, Himno de batalla de la República,general,upbeat 
30, A Cristo Rey Jesús,general,upbeat 
31," Oh, Creaciones Del Señor","general, gratitude",upbeat 
32, Baluarte firme es nuestro Dios,general,upbeat 
34," Oh, Santo Dios, omnipotente ser",general,upbeat
36," Padre bendito, venimos a ti",general,reverent
37, Glorias cantad a Dios,general,upbeat
38," Santos, avanzad",general,upbeat
40, Qué firmes cimientos,general,upbeat
41, ¡Grande eres Tú!,"general, gratitude",reverent
42, Jesús es mi luz,"general, sunshine",upbeat
43, Por la belleza terrenal,"general, gratitude",reverent
45, Oración de gratitud,"general, gratitude",reverent
46, Elevemos nuestros himnos,"general, gratitude",reverent
48, Divina Luz,general,reverent
49," Señor, te necesito",general,reverent
50," Más cerca, Dios, de ti",general,reverent
51," Guíame, oh Salvador",general,reverent
53," ¡Oh Jesús, mi gran amor!",general,reverent
54," Paz, cálmense",general,upbeat
55, Dios da valor,general,upbeat
56, Jehová mi Pastor es,general,reverent
57, El amor del Salvador,general,reverent
58, Roca de eternidad,general,upbeat
60, Venid a Cristo,general,reverent
61, Venid a mi,general,reverent
66, Cuán dulce la ley de Dios,general,reverent
67, Si la vía es penosa,general,upbeat
69, ¿Dónde hallo el solaz?,general,reverent
70, Sé humilde,general,reverent
71, Más santidad dame,general,reverent
72, Creo en Cristo,general,reverent
73, Yo sé que vive mi Señor,general,reverent
74, Vive mi Señor,general,reverent
75, Testimonio,general,reverent
76, Tan sólo con pensar en ti,general,reverent
77, Deja que el Espíritu te enseñe,general,upbeat
78," Oh dulce, grata oración","general, prayer",reverent 
80, Secreta oración,"general, prayer",upbeat
81, ¿Pensaste orar?,"general, prayer",upbeat
83, Entonad sagrado son,general,reverent
84," Dulce tu obra es, Señor",general,reverent
85, El día santo del Señor,general,upbeat
88, Placentero nos es trabajar,general,upbeat
89, Para siempre Dios esté con vos,"general, closing",upbeat
90," Padre, antes de partir","general, closing",upbeat
91, Al partir cantemos,"general, closing",upbeat
98," Conmigo quédate, Señor","general, closing",reverent
99, Acompáñame,"general, closing",reverent
100," Dios, bendícenos","general, closing",upbeat
101," Dios, escúchanos orar",sacrament,reverent
102, Hoy con humildad te pido,sacrament,reverent
103, La Santa Cena,sacrament,reverent
104," Oh Dios, Eterno Padre",sacrament,reverent
105, Jesús de Nazaret,sacrament,reverent
106, Cuán grato es cantar loor,sacrament,reverent
107, Pedimos Tu Espíritu,sacrament,reverent
108," Mansos, reverentes hoy",sacrament,reverent
109, Cantemos todos a Jesús,sacrament,reverent
110, En memoria de tu muerte,sacrament,reverent
111," En el Calvario, en la cruz",sacrament,reverent
112, El Padre tanto nos amó,sacrament,reverent
113, Ya nos juntamos otra vez,sacrament,reverent
114," Cristo, el Redentor, murió",sacrament,reverent
115," Nos reunimos, Padre, hoy",sacrament,reverent
116," Jesús, en la corte celestial",sacrament,reverent
117, ¡Murió! El Redentor murió,sacrament,reverent
118, Asombro me da,sacrament,reverent
119, En un lejano cerro fue,sacrament,reverent
120, Tan humilde al nacer,sacrament,reverent
121, Himno de la Pascua de Resurrección,easter,upbeat
122, Cristo ha resucitado,easter,upbeat
123, ¡Regocijad! Jesús nació,christmas,upbeat
124," Venid, adoremos",christmas,upbeat
125, Jesús en pesebre,christmas,reverent
126, Cantan santos ángeles,christmas,upbeat
127, Noche de luz,christmas,reverent
128, A medianoche se oyó,christmas,reverent
129," Oh, pueblecito de Belén",christmas,reverent
130, Escuchad el son triunfal,christmas,upbeat
131, Asombro dio a los magos,christmas,upbeat
132, La primera Navidad,christmas,reverent
133, Campanas de Navidad,christmas,reverent
134," En la Judea, en tierra de Dios",christmas,upbeat
135, Hoy sembramos la semilla,new year,upbeat
136, Todos los santos,general,upbeat
137," Tú me has dado muchas bendiciones, Dios","general, gratitude",reverent
138," Señor, yo te seguiré","general, gratitude",reverent
139, Ama el Pastor las ovejas,general,reverent
140, A Dios el Padre y a Jesús,general,reverent
141, ¿En el mundo he hecho bien?,general,upbeat
142, Otro año ha pasado,new year,upbeat
144, A la gloria marcharemos,general,upbeat
145," La voz, ya, del eterno","general, sunshine",upbeat
146, Tengo gozo en mi alma hoy,"general, sunshine",upbeat
148, Si hay gozo en tu corazón,"general, sunshine",upbeat
149, Trabajad con fervor,"general, sunshine",upbeat
150, Siembra gozo,"general, sunshine",upbeat
151," Oh, hablemos con tiernos acentos","families, ",reverent
153, Oíd el toque del clarín,general,upbeat
154, Haz tú lo justo,general,upbeat
155, Haz el bien,general,upbeat
157, Cuenta tus bendiciones,general,upbeat
158, Trabajemos hoy en la obra,"general, sunshine, army",upbeat
159, Con valor marchemos,"general, army",upbeat
